# Unicode CLDR 48.2 emoji annotations (English and Korean).
# Source: https://github.com/unicode-org/cldr/tree/release-48-2/common
# Copyright © 1991-2025 Unicode, Inc.
# SPDX-License-Identifier: Unicode-3.0
# emoji\tEnglish short name\tEnglish keywords\tKorean short name\tKorean keywords
😠	angry face	anger | angry | blame | face | feels | frustrated | mad | maddening | rage | shade | unhappy | upset	화난 얼굴	느낌 | 분노 | 불행 | 비난 | 얼굴 | 열받은 | 좌절 | 화 | 화난 얼굴 | 황당
🤬	face with symbols on mouth	censor | cursing | cussing | face | mad | mouth | pissed | swearing | symbols	욕하는 얼굴	열받은 | 욕 | 욕하는 | 욕하는 얼굴 | 화난
😈	smiling face with horns	demon | devil | evil | face | fairy | fairytale | fantasy | horns | purple | shade | smile | smiling | tale	머리에 뿔이 달린 웃는 얼굴	동화 | 머리에 뿔이 달린 웃는 얼굴 | 미소 | 뿔 | 스마일 | 악마 | 얼굴 | 웃는 얼굴
👿	angry face with horns	angry | demon | devil | evil | face | fairy | fairytale | fantasy | horns | imp | mischievous | purple | shade | tale	머리에 뿔이 달린 화난 얼굴	꼬마 악마 | 동화 | 머리에 뿔이 달린 화난 얼굴 | 악마 | 얼굴 | 판타지
💀	skull	body | dead | death | face | fairy | fairytale | i’m | lmao | monster | skull | tale | yolo	해골	나 죽었어 | 동화 | 몸 | 얼굴 | 요정이야기 | 욜로 | 죽음 | 진짜 웃겨 | 해골 | 해골 바가지
☠	skull and crossbones	bone | crossbones | dead | death | face | monster | skull	해골과 뼈다귀	몬스터 | 뼈 | 뼈다귀 | 죽은 | 죽음 | 해골 | 해골과 뼈다귀
💩	pile of poo	bs | comic | doo | dung | face | fml | monster | pile | poo | poop | smelly | smh | stink | stinks | stinky | turd	똥	괴물 | 냄새 | 냄새가 지독한 | 똥 | 똥덩어리 | 똥무더기 | 만화 | 몬스터 | 아 짜증나 | 얼굴 | 코믹
🤡	clown face	clown | face	어릿광대 얼굴	광대 | 어릿광대 | 얼굴
👹	ogre	creature | devil | face | fairy | fairytale | fantasy | mask | monster | ogre | scary | tale	도깨비 가면	가면 | 괴물 | 도깨비 | 도깨비 얼굴 | 동화 | 몬스터 | 무서운 | 생명체 | 일본
👺	goblin	angry | creature | face | fairy | fairytale | fantasy | goblin | mask | mean | monster | tale	코주부 도깨비 가면	가면 | 도깨비 | 동화 | 몬스터 | 심술궂은 | 얼굴 | 일본 | 코주부 도깨비 | 코주부 도깨비 가면 | 판타지 | 화난
👻	ghost	boo | creature | excited | face | fairy | fairytale | fantasy | ghost | halloween | haunting | monster | scary | silly | tale	유령	고스트 | 귀신 | 귀신얼굴 | 동화 | 어이없는 | 얼굴 | 유령 | 판타지 | 할로윈 | 흥분한
👽	alien	alien | creature | extraterrestrial | face | fairy | fairytale | fantasy | monster | space | tale | ufo	외계인	UFO | 괴물 | 동화 | 몬스터 | 에일리언 | 왕눈이 | 외계생명체 | 외계인 | 판타지
👾	alien monster	alien | creature | extraterrestrial | face | fairy | fairytale | fantasy | game | gamer | games | monster | pixelated | space | tale | ufo	에일리언	UFO | 게이머 | 게임 | 몬스터 | 생명체 | 에일리언 | 외계 괴물 | 외계인 | 우주 | 우주 침략자 | 우주생명체 | 판타지
🤖	robot	face | monster | robot	로봇 얼굴	로봇 | 몬스터 | 얼굴
😺	grinning cat	animal | cat | face | grinning | mouth | open | smile | smiling	활짝 웃는 고양이 얼굴	고양이 | 동물 | 벌린 | 얼굴 | 입 | 입벌리고 활짝 웃는 고양이 | 활짝 웃는 고양이 얼굴
😸	grinning cat with smiling eyes	animal | cat | eye | eyes | face | grin | grinning | smile | smiling	미소 짓는 눈으로 활짝 웃는 고양이 얼굴	고양이 | 동물 | 미소 | 미소 짓는 눈으로 활짝 웃는 고양이 얼굴 | 얼굴
😹	cat with tears of joy	animal | cat | face | joy | laugh | laughing | lol | tear | tears	기쁨의 눈물을 흘리는 고양이 얼굴	고양이 | 기뻐하면서 우는 고양이 | 기쁨 | 기쁨의 눈물 | 기쁨의 눈물을 흘리는 고양이 얼굴 | 눈물 | 동물 | 웃음
😻	smiling cat with heart-eyes	animal | cat | eye | face | heart | heart-eyes | love | smile | smiling	하트 눈 고양이 얼굴	고양이 | 눈 | 동물 | 사랑 | 사랑에 빠진 고양이 | 얼굴 | 하트 | 하트모양 눈으로 미소짓는 고양이 얼굴
😼	cat with wry smile	animal | cat | face | ironic | smile | wry	썩소 짓는 고양이	고소하다는 웃음 짓는 고양이 | 고양이 | 동물 | 쌤통 | 썩소 짓는 고양이 | 아이러니한 | 얼굴
😽	kissing cat	animal | cat | closed | eye | eyes | face | kiss | kissing	키스하는 고양이 얼굴	고양이 | 눈 | 눈 감고 뽀뽀하는 고양이 | 동물 | 뽀뽀 | 키스 | 키스하는 고양이 얼굴
🙀	weary cat	animal | cat | face | oh | surprised | weary	절규하는 고양이 얼굴	고양이 | 놀람 | 동물 | 맙소사 | 얼굴 | 오 | 절규하는 고양이 얼굴
😿	crying cat	animal | cat | cry | crying | face | sad | tear	울고 있는 고양이 얼굴	고양이 | 눈물 | 눈물 흘리는 고양이 | 동물 | 슬픈 | 울고 있는 고양이 | 울고 있는 고양이 얼굴 | 훌쩍
😾	pouting cat	animal | cat | face | pouting	뾰로통한 고양이 얼굴	고양이 | 동물 | 뾰로통한 고양이 얼굴 | 토라진 | 토라짐
🙈	see-no-evil monkey	embarrassed | evil | face | forbidden | forgot | gesture | hide | monkey | no | omg | prohibited | scared | secret | smh | watch	눈을 가리고 있는 원숭이	금지 | 금지된 | 나쁜것은 보지도 말라 | 눈을 가리고 있는 원숭이 | 동물 | 맙소사 | 무서운 | 보다 | 볼수 없음 | 부끄러워 | 비밀 | 손으로 눈을 가린 원숭이 | 아니 | 아무것도 안 보려는 원숭이 | 악마 | 얼굴 | 오마이갓 | 원숭이 | 제스처
🙉	hear-no-evil monkey	animal | ears | evil | face | forbidden | gesture | hear | listen | monkey | no | not | prohibited | secret | shh | tmi	귀를 막고 있는 원숭이	귀를 막고 있는 원숭이 | 금지 | 나쁜것은 듣지도 말라 | 동물 | 듣기 | 비밀 | 손으로 귀를 가린 원숭이 | 쉿 | 악마 | 원숭이 | 제스처
🙊	speak-no-evil monkey	animal | evil | face | forbidden | gesture | monkey | no | not | oops | prohibited | quiet | secret | speak | stealth	입을 막고 있는 원숭이	금지 | 나쁜것은 말하지도 말라 | 말하다 | 비밀 | 손으로 입을 가린 원숭이 | 악마 | 얼굴 | 웁스 | 원숭이 | 입을 막고 있는 원숭이 | 제스처 | 조용한
💌	love letter	heart | letter | love | mail | romance | valentine	러브레터	러브레터 | 로맨스 | 발렌타인 | 사랑 고백 | 연애 편지 | 편지 | 하트
💘	heart with arrow	143 | adorbs | arrow | cupid | date | emotion | heart | ily | love | romance | valentine	화살이 꽂힌 하트	데이트 | 로맨스 | 발렌타인 | 사랑 | 사랑스러움 | 사랑해 | 연애 | 큐피드 | 하트 | 화살이 꽂힌 하트
💝	heart with ribbon	143 | anniversary | emotion | heart | ily | kisses | ribbon | valentine | xoxo	리본 달린 하트	감정 | 기념일 | 리본 | 리본 달린 하트 | 발렌타인 초콜렛 상자 | 사랑 | 사랑해 | 선물 상자 | 키스 | 하트
💖	sparkling heart	143 | emotion | excited | good | heart | ily | kisses | morning | night | sparkle | sparkling | xoxo	빛나는 하트	감정 | 기쁨으로 가득찬 마음 | 두근거림 | 빛나는 하트 | 뽀뽀 | 뿅뿅 | 사랑 | 사랑의 기쁨 | 사랑해 | 설렘 | 아침 | 좋은 밤 | 키스 | 하트
💗	growing heart	143 | emotion | excited | growing | heart | heartpulse | ily | kisses | muah | nervous | pulse | xoxo	커지는 하트	감정 | 긴장 | 깊어지는 마음 | 깊어지는 사랑 | 맥박 | 무아 | 뽀뽀 | 사랑 | 사랑해 | 심장박동 | 커지는 마음 | 커지는 하트 | 키스 | 하트 | 흥분함
💓	beating heart	143 | beating | cardio | emotion | heart | heartbeat | ily | love | pulsating | pulse	두근거리는 하트	감정 | 두근거리는 마음 | 두근거리는 하트 | 두근두근 | 떨리는 마음 | 맥박 | 사랑 | 사랑해 | 심장 | 하트
💞	revolving hearts	143 | adorbs | anniversary | emotion | heart | hearts | revolving	회전하는 하트	감정 | 귀여움 | 기념일 | 빙글빙글 | 사랑 | 사랑스러움 | 하트 | 회전하는 하트
💕	two hearts	143 | anniversary | date | dating | emotion | heart | hearts | ily | kisses | love | loving | two | xoxo	하트 두 개	감정 | 기념일 | 뽀뽀 | 사랑 | 사랑하는 | 사랑해 | 연애 | 연인 | 하트 | 하트 두 개
💟	heart decoration	143 | decoration | emotion | heart | hearth | purple | white	하트 장식	보라색 하트 | 퍼플 하트 | 하얀색 하트 | 하트 | 하트 장식 | 화이트 하트
❣	heart exclamation	exclamation | heart | heavy | mark | punctuation	하트 모양 느낌표	느낌표 | 문장 부호 | 표시 | 하트 | 하트 모양 느낌표
💔	broken heart	break | broken | crushed | emotion | heart | heartbroken | lonely | sad	깨진 하트	가슴이 아픈 | 감정 | 결별 | 깨진 하트 | 슬픔 | 외로움 | 이별 | 이별의 고통 | 이별의 아픔 | 헤어짐
❤‍🔥	heart on fire	burn | fire | heart | love | lust | sacred	불 난 하트	마음 | 불 난 하트 | 불타는 사랑 | 사랑 | 하트
❤‍🩹	mending heart	healthier | heart | improving | mending | recovering | recuperating | well	낫고 있는 하트	건강 | 낫고 있는 하트 | 치유 | 호전 | 회복 | 힐링
❤	red heart	emotion | heart | love | red	빨간색 하트	감정 | 마음 | 빨간색 하트 | 사랑 | 하트
🩷	pink heart	143 | adorable | cute | emotion | heart | ily | like | love | pink | special | sweet	분홍색 하트	귀여움 | 분홍색 | 사랑해 | 좋아해 | 하트
🧡	orange heart	143 | heart | orange	주황색 하트	오렌지색 | 오렌지색 하트 | 주황색 하트
💛	yellow heart	143 | cardiac | emotion | heart | ily | love | yellow	노란색 하트	감정 | 노란 하트 | 노란색 | 사랑 | 사랑해 | 심장 | 하트
💚	green heart	143 | emotion | green | heart | ily | love | romantic	초록색 하트	감정 | 그린 | 녹색 하트 | 로맨틱 | 사랑 | 사랑해 | 초록색 하트 | 하트
💙	blue heart	143 | blue | emotion | heart | ily | love | romance	파란색 하트	감정 | 로맨스 | 사랑 | 사랑해 | 파란 하트 | 파란색 | 하트
🩵	light blue heart	143 | blue | cute | cyan | emotion | heart | ily | light | like | love | sky | special | teal	밝은 파란색 하트	밝은 파란색 | 밝은 파란색 하트 | 청록색 | 푸른 | 하늘색 하트 | 하트
💜	purple heart	143 | bestest | emotion | heart | ily | love | purple	보라색 하트	감정 | 보라색 하트 | 사랑 | 사랑해 | 하트
🤎	brown heart	143 | brown | heart	갈색 하트	갈색 | 하트
🖤	black heart	black | evil | heart | wicked	검은색 하트	검은색 하트 | 검정 | 블랙 | 사악한 | 악 | 하트
🩶	grey heart	143 | emotion | gray | grey | heart | ily | love | silver | slate | special	회색 하트	슬레이트색 | 은색 | 하트 | 회색
🤍	white heart	143 | heart | white	흰색 하트	하트 | 흰색
💋	kiss mark	dating | emotion | heart | kiss | kissing | lips | mark | romance | sexy	입술	감정 | 로맨스 | 뽀뽀 | 섹시 | 연애 | 입술 | 쪼옥 | 쪽 | 키스 | 하트
💯	hundred points	100 | TRUE | a+ | agree | clearly | definitely | faithful | fleek | full | hundred | keep | perfect | point | score | truth | yup	백점	A+ | 동의 | 득점 | 만점 | 백점 | 자신 있는 | 점수 | 진실 | 진짜 | 최고점
💢	anger symbol	anger | angry | comic | mad | symbol | upset	화남	기호 | 울컥 | 화 | 화남
🫯	fight cloud	argument | brawl | debate | disagreement | fight | ruckus | wrestle	싸움 구름	격투 | 논쟁 | 다툼 | 소동 | 소란 | 싸움 | 충돌
💥	collision	bomb | boom | collide | collision | comic | explode	충돌	꽝 | 만화 | 충돌 | 코믹 | 쾅 | 폭발
💫	dizzy	comic | dizzy | shining | shooting | star | stars	어지러움	띠용 | 반짝반짝 | 별 | 별똥별 | 슈팅스타 | 어지러움 | 어질어질 | 코믹
💦	sweat droplets	comic | drip | droplet | droplets | drops | splashing | squirt | sweat | water | wet | work | workout	땀	곤란 | 당황 | 땀 | 만화 | 물 | 삐질삐질 | 운동 | 코믹
💨	dashing away	away | cloud | comic | dash | dashing | fart | fast | go | gone | gotta | running | smoke	달려나감	가버림 | 구름 | 달려나감 | 달리기 | 만화 | 빠른 | 슝 | 연기 | 코믹 | 후다닥
🕳	hole	hole	구멍	검은 구멍 | 구멍
💬	speech balloon	balloon | bubble | comic | dialog | message | sms | speech | talk | text | typing	말풍선	대화 | 대화창 | 만화 | 말 | 말풍선 | 메시지 | 문자 | 풍선
👁‍🗨	eye in speech bubble	balloon | bubble | eye | speech | witness	말풍선 속 눈	눈 | 말풍선 | 말풍선 속 눈 | 목격자
🗨	left speech bubble	balloon | bubble | dialog | left | speech	왼쪽 말풍선	말 | 말풍선 | 왼쪽 말풍선
🗯	right anger bubble	anger | angry | balloon | bubble | mad | right	화난 표현의 오른쪽 말풍선	말풍선 | 버블 | 풍선 | 화난 | 화난 표현의 오른쪽 말풍선 | 화남
💭	thought balloon	balloon | bubble | cartoon | cloud | comic | daydream | decisions | dream | idea | invent | invention | realize | think | thoughts | wonder	생각 풍선	결심 | 구름 | 깨달음 | 꿈 | 만화 | 몽상 | 발명 | 버블 | 생각 | 풍선
💤	ZZZ	comic | good | goodnight | night | sleep | sleeping | sleepy | tired | zzz	졸림	만화 | 밤 | 수면 | 안녕히 주무세요 | 자고 있음 | 자는 중 | 잘자 | 졸림 | 코믹 | 쿨쿨
👋	waving hand	bye | cya | g2g | greetings | gtg | hand | hello | hey | hi | later | outtie | ttfn | ttyl | wave | yo | you	흔드는 손	거기 있어? | 나중에 봐 | 똑똑 | 바이 | 안녕 | 이따가 봐 | 잘가 | 펼친 손 | 헤이 | 흔드는 손
🤚	raised back of hand	back | backhand | hand | raised	손등	들어보이기 | 손등 | 손바닥
🖐	hand with fingers splayed	finger | fingers | hand | raised | splayed | stop	쫙 편 손바닥	손 | 손가락 | 손바닥 | 스톱 | 안녕 | 인사 | 정지 | 쫙 편 손바닥
✋	raised hand	5 | five | hand | high | raised | stop	손바닥	5 | 다섯 | 보 | 보자기 | 손들어 | 손바닥 | 하이파이브
🖖	vulcan salute	Vulcan | finger | hand | hands | salute	벌칸식 인사	경례 | 벌칸식 인사 | 벌컨 | 벌컨 인사 | 손 | 손 모양 | 손가락 | 스타트렉 | 스팍
🫱	rightwards hand	hand | handshake | hold | reach | right | rightward | rightwards | shake	오른쪽으로 향하는 손등	닿다 | 뻗다 | 손 | 악수 | 오른손 | 오른쪽 | 오른쪽 방향 | 오른쪽으로 향하는 손등 | 우측 | 우측 방향 | 잡다 | 흔들다
🫲	leftwards hand	hand | handshake | hold | left | leftward | leftwards | reach | shake	왼쪽으로 향하는 손바닥	뻗다 | 손 | 악수 | 왼손 | 왼쪽 | 왼쪽 방향 | 왼쪽으로 향하는 손바닥 | 좌측 | 좌측 방향 | 흔들다
🫳	palm down hand	dismiss | down | drop | dropped | hand | palm | pick | shoo | up	손바닥을 아래로 향한 손	그만두다 | 그만두라는 손 | 떨어뜨리다 | 물러나 | 손 | 손바닥을 아래로 향한 손 | 저리 가 | 줍다 | 집다 | 핸드
🫴	palm up hand	beckon | catch | come | hand | hold | know | lift | me | offer | palm | tell	손바닥을 위로 향한 손	들다 | 리프트 | 말해 줘 | 몰라 | 부르는 손 | 손바닥을 위로 향한 손 | 알려줘 | 이리 와 | 잡기 | 제안 | 핸드
🫷	leftwards pushing hand	block | five | halt | hand | high | hold | leftward | leftwards | pause | push | pushing | refuse | slap | stop | wait	왼쪽으로 밀치는 손	거절 | 그만 | 기다려 | 밀치기 | 왼쪽 방향 | 왼쪽으로 밀치는 손 | 하이 파이브
🫸	rightwards pushing hand	block | five | halt | hand | high | hold | pause | push | pushing | refuse | rightward | rightwards | slap | stop | wait	오른쪽으로 밀치는 손	거절 | 그만 | 기다려 | 밀치기 | 오른쪽 방향 | 오른쪽으로 밀치는 손 | 하이 파이브
👌	OK hand	OK | awesome | bet | dope | fleek | fosho | got | gotcha | hand | legit | okay | pinch | rad | sure | sweet | three	오케이를 표시한 손	3 | OK | 꼬집기 | 내기 | 당근 | 돈 | 바보 | 셋 | 손 | 알겠어 | 알았어 | 오케이 신호 | 오케이를 표시한 손 | 좋아 | 한꼬집
🤌	pinched fingers	fingers | gesture | hand | hold | huh | interrogation | patience | pinched | relax | sarcastic | ugh | what | zip	꼬집는 손가락	기다려 | 꼬집는 | 릴랙스 | 뭐 | 빈정대는 | 손 | 손가락 | 손동작 | 악 | 인내 | 입다물어 | 진정 | 질문
🤏	pinching hand	amount | bit | fingers | hand | little | pinching | small | sort	꼬집는 손	꼬집는 손 | 손가락 | 적은 양을 나타내는 손 | 조금 | 한 꼬집
✌	victory hand	hand | peace | v | victory	브이 표시	가위 | 브이 표시 | 브이하는 손 | 빅토리 | 손 | 승리 | 찌 | 평화
🤞	crossed fingers	cross | crossed | finger | fingers | hand | luck	검지와 중지 크로스	검지 | 검지와 중지 크로스 | 교차 | 손 | 손가락 | 중지 | 크로스 | 행운
🫰	hand with index finger and thumb crossed	<3 | crossed | expensive | finger | hand | heart | index | love | money | snap | thumb	엄지와 중지를 교차한 손	너무 비싼 | 돈 | 딱딱 | 머니 | 비싼 | 사랑 | 손 | 손가락 하트 | 엄지와 중지를 교차한 손 | 하트
🤟	love-you gesture	ILY | fingers | gesture | hand | love | love-you | three | you	사랑을 표시하는 손	사랑 제스처 | 사랑을 표시하는 손 | 사랑해 | 손 | 손가락 세개
🤘	sign of the horns	finger | hand | horns | rock-on | sign	뿔 모양 손짓	락 음악 | 뿔 | 뿔 모양 손짓 | 손 | 손 모양 | 손가락 | 신남 | 힙합
🤙	call me hand	Shaka | call | hand | hang | loose | me	전화를 걸라는 손 모양	손 | 손가락 | 손모양 | 전화 | 전화를 걸라는 손 모양
👈	backhand index pointing left	backhand | finger | hand | index | left | point | pointing	왼쪽을 가리키는 손등	검지손가락 | 색인 | 손 | 손가락 | 손가락 왼쪽으로 | 손가락으로 왼쪽 가리키기 | 왼쪽 | 왼쪽을 가리키는 검지손가락 | 왼쪽을 가리키는 손등 | 인덱스
